,id,Predicted
0,114982,339107.3800298681
1,95653,511430.0043996796
2,40303,374422.0148288562
3,109506,367736.4120311235
4,100149,478212.3929380509
5,7610,342661.100066018
6,61101,301095.5737897746
7,68167,462375.23549505364
8,65701,364677.48116131313
9,56039,236067.9884192199
10,81919,378588.45707125094
11,99768,457011.92252877646
12,124053,697219.2478999922
13,3942,361976.3326533293
14,118904,518157.3498505941
15,30060,371313.24566896586
16,185729,629883.8772526364
17,46357,751664.0794486622
18,20662,463702.4605193595
19,102274,514697.2138405866
20,53369,283224.6716831624
21,9719,366333.3353647531
22,20145,227702.19744748503
23,159051,559064.1318526583
24,31481,268659.0147859595
25,142247,450662.80474012345
26,29119,337192.75351827225
27,151448,401312.8829732871
28,60594,293945.87778850686
29,83400,451673.9316190257
30,40168,321791.4081702117
31,52407,390992.2251456494
32,127232,471658.3026299366
33,131188,423163.372747725
34,952,222337.0939963771
35,166230,448559.56281815993
36,144844,399958.5067834141
37,33207,270546.2313326611
38,28355,695436.8873336592
39,179918,708809.5924777921
40,162451,707570.0800215921
41,19390,308435.86369345686
42,114861,494105.85952426057
43,132259,421393.0432156359
44,180033,675458.9986767103
45,97052,487800.69404695096
46,94224,382968.56434942904
47,32295,406042.3384306209
48,171908,560490.5329686735
49,80236,468429.02326397604
50,156193,451939.0225798519
51,54494,318223.0639769713
52,174530,631679.8700263205
53,143835,387585.2602810882
54,26275,268638.3179865624
55,61627,640735.8034326669
56,49813,305300.4192114565
57,3466,547279.885402058
58,117691,522479.24072049116
59,132738,505438.3617099572
60,114211,506630.7835029095
61,116741,513796.82772243617
62,39246,279578.92156254663
63,150011,375385.3098644387
64,182319,592132.6999516226
65,32441,283154.9039370152
66,18842,348998.54986702575
67,99428,398457.67987352656
68,96435,409903.8307598748
69,134803,379602.09074740834
70,171636,550074.8649950778
71,115944,560454.758630509
72,149001,550516.7431560333
73,19084,304006.37875920336
74,178128,645701.0378477711
75,74818,367491.968097978
76,49603,274973.5096417201
77,86262,663165.3166868014
78,14520,323375.1506462311
79,57209,719479.8647741082
80,148575,528239.6911783282
81,33,226229.5524382821
82,180401,685783.6150878983
83,87114,538631.3207992362
84,16450,393850.97518365405
85,28848,284030.83369951276
86,11519,247728.4695570438
87,7202,299348.85270181147
88,2843,282978.71079419495
89,156073,485086.8741539454
90,132217,495882.2501427514
91,140349,489084.70868511626
92,34614,323087.80142102984
93,135594,437653.2272942494
94,170933,675176.5727649274
95,62586,417960.87279880705
96,145868,419528.20036641223
97,15155,253471.45319701397
98,61290,284802.257415634
99,184569,595309.1567081976
100,169996,415710.8501112027
101,7026,435167.49629497755
102,128356,421262.3599695892
103,134501,459489.9098979515
104,163406,519830.6537909134
105,56796,411393.4193657762
106,174870,647482.3235246172
107,142554,586587.7928081644
108,59547,233807.2536233879
109,143113,502276.9608808593
110,154091,537032.715220552
111,61191,454836.45081417856
112,135899,451521.61658364773
113,172405,509125.71185801097
114,184121,579085.7186501818
115,1063,353327.10255614406
116,6348,327808.6560179262
117,79995,639212.1318544082
118,50573,411274.4584389603
119,79894,478511.5644890445
120,113553,400870.80094548746
121,31931,380481.6194213894
122,86645,384412.34462112124
123,123780,414928.1426787345
124,142940,455066.34048510244
125,138987,505342.64142578474
126,41502,215841.42782500733
127,100104,600180.7840300265
128,83570,427265.4959662239
129,181648,584870.0187364598
130,68406,456754.00738824497
131,114567,400598.64998294105
132,5470,375756.36062869144
133,176926,711043.0696915027
134,173013,470060.0651713987
135,110219,435623.3309248527
136,52178,251978.52622883854
137,120569,461307.2266009529
138,132710,522215.1520913639
139,10478,320952.8965256299
140,100309,802780.7136028409
141,76446,426789.4614031658
142,140674,385988.23442713445
143,122786,544315.6971790948
144,66214,361018.87213213573
145,120240,346845.47333728895
146,113802,393959.0762673144
147,169747,541761.184343387
148,45819,327943.9948059914
149,36170,359882.48370706
150,84049,401946.1396969886
151,104675,372068.0580285223
152,66165,826972.2055756352
153,92499,423516.85188309115
154,107783,527873.6491887621
155,148441,473851.63143533276
156,12344,319318.7076265497
157,93256,498571.00865533226
158,48139,471535.9309110488
159,101908,397115.69771836686
160,134084,434768.4048358848
161,17216,305779.8538774146
162,185201,646291.137200312
163,185016,600051.5579657689
164,25318,351818.8307350324
165,65253,352094.9787037522
166,57696,258160.06824025617
167,30939,330875.8066137229
168,128338,434768.7715024145
169,104156,415947.79326842516
170,41455,375092.65351578646
171,126390,432875.05101998954
172,165803,541044.4673255148
173,108253,361908.4404096517
174,15221,231608.28179586586
175,129322,334307.0108912282
176,86142,640964.4819071528
177,150957,530573.5812973165
178,97028,413779.81773021806
179,3219,388826.22833501094
180,172533,487234.653515216
181,147313,477215.2597033605
182,168865,455615.43967520446
183,138278,482647.3044173779
184,82280,369003.1810088862
185,4380,331650.3587728345
186,4327,541893.0795815397
187,109861,448002.8119316806
188,45273,473439.420373941
189,102888,726688.9734837671
190,77664,480685.94958961284
191,58355,254698.79875529322
192,91308,339083.84351551026
193,169692,499256.2186171223
194,154931,485396.0557086245
195,123897,516710.75471430295
196,43550,440566.23920680437
197,94084,434797.8600545166
198,63629,360228.53420210665
199,163153,444653.0843474629
200,165076,688913.211221923
201,55701,299003.7013801321
202,19310,287056.61681279796
203,18205,396325.3332069799
204,59608,558750.0836896588
205,60785,476860.7571180702
206,51513,411639.06489041727
207,145397,482132.44818791834
208,101693,373211.40050486656
209,164688,464085.03151462064
210,82863,364637.92005458724
211,1754,314902.74740589445
212,5376,358029.6630645453
213,130074,422548.1380095057
214,102843,687290.0657718708
215,29760,338228.8158331049
216,130642,412817.9849613555
217,31347,420964.0292181985
218,24205,293732.6119995811
219,165100,511379.07685674395
220,81514,426989.8038868653
221,116369,528036.8101809382
222,84639,422358.9626119301
223,97982,400164.6771483301
224,91083,734725.1265946586
225,149132,582603.853578826
226,41826,395994.58799583255
227,52033,259824.7158723406
228,21665,274096.7675596586
229,62257,299404.7641129807
230,10102,304003.5869498161
231,23904,397254.19369060005
232,179693,816708.0304106271
233,144227,875517.3661712582
234,120211,386593.6516659352
235,173440,447608.6738907165
236,46749,431875.8863013396
237,96942,591465.7384199293
238,183177,518219.03339589026
239,35398,297347.3193125791
240,30263,285245.5693553804
241,48194,367320.12468823313
242,129424,496959.0988229232
243,110123,428962.05725249345
244,60370,282823.3193235417
245,33837,378100.5491086541
246,108049,480298.8408237274
247,78656,492691.49323920946
248,7172,340188.2561074474
249,66304,370403.10178116756
250,78058,390056.77613816137
251,176324,704069.3199464835
252,165880,545126.2446119897
253,93902,405858.1655824335
254,116039,415794.82304659
255,151166,517099.24672510964
256,40210,294837.4657694221
257,98367,405821.16034522926
258,160925,516438.8252874431
259,104371,453857.3172941505
260,78415,663385.7928880362
261,83660,478465.77969592647
262,121434,420238.4030466584
263,78336,612789.5291613189
264,52510,455629.77635902684
265,64261,442318.2589914679
266,97749,425867.3990094743
267,172084,523523.1911744217
268,52569,286491.3643490366
269,57400,444640.74902963755
270,169875,575476.7311907219
271,58398,416834.2383037537
272,183622,637872.0747908984
273,48753,535370.3258148464
274,130190,560398.3210883614
275,108466,434800.63377156266
276,157786,504690.29750405694
277,95190,423149.7679689977
278,87452,495718.28304411704
279,142203,538704.3220073348
280,130773,595943.09926315
281,168853,486070.1459141494
282,64684,339262.1748728564
283,57446,370664.40096340096
284,153747,440343.2479820396
285,159666,506127.6948841962
286,71555,391253.14696992957
287,134319,738799.0135501317
288,93943,465864.1037891063
289,109872,586805.4908319564
290,177223,669367.5675933817
291,93784,579017.320202285
292,6380,311538.8262954776
293,132297,414677.9096282762
294,125110,440481.610604005
295,36843,357987.5449274005
296,121955,412966.6471067233
297,82973,520639.7579426132
298,103986,379370.0604172734
299,97824,387870.4988575067
300,64151,472763.0343343652
301,165946,478052.0220711535
302,159307,430426.1781576692
303,131434,384138.8037933171
304,8556,446898.951803264
305,37868,301526.53206746187
306,14032,328877.40121909516
307,21341,338788.50965384545
308,135288,540113.176471878
309,50116,251557.82850819448
310,97940,461675.50347819185
311,162134,469372.94572960614
312,166998,482981.21493641176
313,137392,514722.8853566276
314,1460,312394.5175369142
315,171905,580793.6704613034
316,175067,580951.3422879309
317,172514,541588.9891067806
318,17738,316141.3258716945
319,67047,342635.4208821519
320,124014,520460.5585204401
321,185762,644455.0181528648
322,1311,268877.8521958095
323,119140,585087.327437059
324,142546,502270.1118092109
325,114400,411494.7915802723
326,22406,490591.05146279425
327,92766,587356.9679879335
328,60485,435243.375499874
329,91648,524415.6328822158
330,132526,776952.1516008807
331,25180,382454.8278806869
332,48904,271364.20527044864
333,146550,494547.5270429525
334,19407,513833.9308156016
335,47699,303839.84943325707
336,2620,284626.91225166974
337,174106,561787.8612352078
338,112846,506227.27325236774
339,83926,418882.97811146994
340,64285,379551.6615554052
341,5733,299113.97145100415
342,87638,510397.90020030865
343,53604,325528.37106680847
344,53244,354048.70241027203
345,82872,344334.7825619573
346,66096,663574.8529461988
347,173642,462682.6708840458
348,145405,457470.9933601421
349,90156,466686.8177691508
350,180075,637318.9698704034
351,5153,339101.6208272548
352,134959,461522.47856389976
353,64342,376942.58588164713
354,51154,372209.72608671983
355,40845,316884.1184665905
356,170881,775165.9165144558
357,106257,660528.5646815622
358,114464,366484.33703266864
359,97370,438413.9046798027
360,172227,532268.9773628337
361,151941,517013.6586589914
362,107035,412030.4781794027
363,135274,478683.343452394
364,169795,596218.2875492531
365,83718,405403.7433891577
366,42632,211427.30381012076
367,68198,321947.1850697698
368,112707,412197.47944194794
369,36740,411435.17846164503
370,42954,338581.37523615314
371,5921,301582.2809925886
372,40850,296580.9809739606
373,44668,325917.6099968026
374,21263,317645.05849272554
375,162241,545086.864363191
376,81902,433984.14582088316
377,169151,651033.8004156948
378,154334,466496.05594769015
379,59218,369831.2735408596
380,37714,339466.6142143421
381,106222,556325.6301781944
382,139069,471096.3138448718
383,4425,426069.76118971297
384,140007,411381.6946578648
385,90024,401108.45071904385
386,153101,427161.7311962675
387,37538,283763.77370034147
388,32399,280303.35919233557
389,38946,336321.34759816347
390,151272,476251.90948443755
391,95430,524313.9843931681
392,101750,582530.1445060027
393,16356,322251.83374131797
394,131496,509971.9517049185
395,167864,448226.99547703617
396,17832,379313.0591939131
397,106738,467881.96298415074
398,33431,374001.32145280915
399,164505,504156.5164903167
400,47565,427083.0501200815
401,99660,576041.455140701
402,20200,262994.3752021726
403,28507,465185.11400925013
404,43495,436680.0029798637
405,23794,443241.4457998961
406,40297,364270.44608254125
407,53944,566498.1209392387
408,11040,668173.1135279262
409,106585,480910.7626443928
410,70050,679690.968756464
411,75026,492801.2568025552
412,142562,493062.40247850004
413,113332,450320.25804765424
414,104548,651485.0556052729
415,159065,476877.539639392
416,157589,448019.813692465
417,26850,264491.4105945829
418,83917,390609.3365862285
419,124331,379792.24008647905
420,58018,236760.2684964468
421,163913,660797.3801284069
422,109105,413947.1919223482
423,97862,414829.9319261154
424,16478,353189.1598256073
425,35187,303396.5241193066
426,25446,365996.4570818107
427,47828,406530.4831791572
428,123220,465317.8639577315
429,16366,312100.2649950029
